"","Site","Year","Block","Trt","Plot","Tree_Number","Sp_code","Cond","DBH","CoreID","response","priorDBH","priorYear","PlotID","totalPlotBA_ha","priorBA","CanopyCover","meanVPD","maxVPD","meanSWA","minSWA"
"102","FV",2011,1,1,10,41,"PIPO",1,5.2,"FV_1_1_10_41","Live",4.5,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"103","FV",2019,1,1,10,41,"PIPO",1,5,"FV_1_1_10_41","Live",5.2,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"104","FV",2006,1,1,10,42,"PIPO",1,6.4,"FV_1_1_10_42","Live",5.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"105","FV",2011,1,1,10,42,"PIPO",1,7.1,"FV_1_1_10_42","Live",6.4,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"106","FV",2019,1,1,10,42,"PIPO",1,8.4,"FV_1_1_10_42","Live",7.1,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"107","FV",2006,1,1,10,43,"PIPO",1,2,"FV_1_1_10_43","Live",2.1,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"108","FV",2011,1,1,10,43,"PIPO",3,NA,"FV_1_1_10_43","Dead",2,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"109","FV",2006,1,1,10,44,"PIPO",1,3.6,"FV_1_1_10_44","Live",3.7,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"110","FV",2011,1,1,10,44,"PIPO",1,3.8,"FV_1_1_10_44","Live",3.6,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"111","FV",2019,1,1,10,44,"PIPO",1,3.8,"FV_1_1_10_44","Live",3.8,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"112","FV",2006,1,1,10,45,"PIPO",1,3.2,"FV_1_1_10_45","Live",3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"113","FV",2011,1,1,10,45,"PIPO",1,3.9,"FV_1_1_10_45","Live",3.2,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"114","FV",2019,1,1,10,45,"PIPO",1,3.3,"FV_1_1_10_45","Live",3.9,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
