Nest_ID,Year_located,Julian_start,Julian_end,UTM_datum_zone,maxTmax_C,meanTmax_C,maxPpt_mm,meanPpt_mm
EMFWOR_NCAMC5-01A_2020,2020,161,162,NAD83 10N,18.148000717163086,14.887000560760498,1.7089999914169312,0.8544999957084656
EMFWOR_NCAMC5-01A_2020,2020,162,171,NAD83 10N,22.007999420166016,15.335900163650512,11.208999633789063,3.1604999780654905
EMFWOR_NCAMC5-01A_2020,2020,171,175,NAD83 10N,25.875,22.84960021972656,0,0
EMFWOR_NCAMC5-01A_2020,2020,175,181,NAD83 10N,28.92799949645996,24.273857252938406,0.3240000009536743,0.04628571442195347
EMFWOR_NCAMC5-01A_2020,2020,181,183,NAD83 10N,18.777999877929688,15.136333147684732,0.3240000009536743,0.10800000031789143
EMFWOR_NCAMC5-01A_2020,2020,183,184,NAD83 10N,19.09000015258789,18.93400001525879,0,0
EMFWOR_NCAMC7-06A_2015,2015,149,149,NAD83 10N,22.099000930786133,22.099000930786133,0,0
EMFWOR_NCAMC7-06A_2015,2015,149,167,NAD83 10N,29.552000045776367,22.887052586204128,4.642000198364258,0.5228947513785801
EMFWOR_NCAMC7-06A_2015,2015,167,170,NAD83 10N,26.551000595092773,26.033250331878662,0,0
EMFWOR_NCAMC7-06A_2015,2015,170,174,NAD83 10N,26.551000595092773,24.31740036010742,0,0
EMFWOR_NCAMC7-06A_2015,2015,174,182,NAD83 10N,33.051998138427734,29.344888263278538,0,0
EMFWOR_NCAMC7-06A_2015,2015,182,189,NAD83 10N,34.02399826049805,29.91974973678589,10.376999855041504,2.298374980688095
EMFWOR_NCAMC7-06A_2015,2015,189,190,NAD83 10N,26.941999435424805,22.804499626159668,10.376999855041504,8.780499935150146
EMFWOR_NCAMC7-06A_2015,2015,190,195,NAD83 10N,22.454999923706055,20.727333386739094,7.23199987411499,3.2083333134651184
EMFWOR_NCAMC7-06A_2015,2015,195,203,NAD83 10N,27.975000381469727,25.19355540805393,6.019000053405762,0.6687777837117513
EMFWOR_NCAMC7-06A_2018,2018,165,165,NAD83 10N,24.03499984741211,24.03499984741211,0,0
EMFWOR_NCAMC7-06A_2018,2018,165,169,NAD83 10N,24.03499984741211,18.264200019836426,6.914000034332275,1.3854000069200993
EMFWOR_NCAMC7-06A_2018,2018,169,177,NAD83 10N,27.33300018310547,21.423777792188858,6.914000034332275,1.1271111170450847
EMFWOR_NCAMC7-06A_2018,2018,177,183,NAD83 10N,26.46299934387207,24.132428577968053,0,0
EMFWOR_NCAMC7-06A_2018,2018,183,190,NAD83 10N,27.899999618530273,24.759999752044678,0,0
